Ball name,14 x 14 ball,Power group,Ball Types,Default setting,Default setting,Default setting,Status while reset is asserted
SD1_CLK,Y11,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[8],Input with PD
SD1_CMD,AA12,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[9],Input with PD
SD1_DATA0,AA14,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[10],Input with PD
SD1_DATA0,AA14,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[10],Input with PD
SD1_DATA1,AA15,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[11],Input with PD
SD1_DATA2,AA16,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[12],Input with PD
SD1_DATA3,AA13,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[13],Input with PD
SD1_DATA4,Y13,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[14],Input with PD
SD1_DATA5,Y14,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[15],Input with PD
SD1_DATA5,Y14,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[15],Input with PD
SD1_DATA6,Y15,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[16],Input with PD
SD1_DATA7,Y16,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[17],Input with PD
SD1_STROBE,Y12,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[18],Input without PU / PD
SD_CD_B,Y1,NVCC_SD2,GPIO,Alt5,GPIO3.IO[0],Input with PD
SD2_CD_B,Y17,NVCC_SD2,GPIO,Alt5,GPIO3.IO[0],Input with PD
SD2_CLK,AA19,NVCC_SD2,GPIO,Alt5,GPIO3.IO[1],Input with PD
SD2_CMD,Y19,NVCC_SD2,GPIO,Alt5,GPIO3.IO[2],Input with PD
SD2_DATA0,Y18,NVCC_SD2,GPIO,Alt5,GPIO3.IO[3],Input with PD
SD2_DATA1,AA18,NVCC_SD2,GPIO,Alt5,GPIO3.IO[4],Input with PD
SD2_DATA1,AA18,NVCC_SD2,GPIO,Alt5,GPIO3.IO[4],Input with PD
SD2_DATA2,Y20,NVCC_SD2,GPIO,Alt5,GPIO3.IO[5],Input with PD
SD2_DATA3,AA20,NVCC_SD2,GPIO,Alt5,GPIO3.IO[6],Input with PD
SD2_RESET_B,AA17,NVCC_SD2,GPIO,Alt5,GPIO3.IO[7],Input with PD
SD2_VSELECT,V18,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[19],Input with PD
SD3_CLK,V16,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[20],Input with PD
SD3_CMD,U16,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[21],Input with PD
SD3_CMD,U16,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[21],Input with PD
SD3_DATA0,T16,NVCC_WAKEUP,GPIO,Alt5,GPIO3.IO[22],Input with PD
